video_id,title,description,upload_date,view_count,like_count,comment_count
X3HCiOvboKk,Huh? Huhh? Huhhh? 😧,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty #memes #meme",2023-11-23T12:31:36Z,406212,35478,271
Cf9IRX_nLgQ,Funny moments in codm #2 😂💀😝,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out! ——————————————————————————— IGN - Carnage.YT Device - iPad Pro 2021 ——————————————————————————— Email ID : aexcarnage@gmail.com INSTAGRAM: https://instagram.com/skp_carnage DISCORD: https://discord.gg/PqvTcVthw Aesthetic X: https://discord.gg/SDDTYFK​​​​​​ ——————————————————————————— Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!
 #shorts #codm ​​​​ #codmobile ​​​​ #callofdutymobile #shorts #callofduty #memes #meme",2023-12-23T12:35:21Z,136812,13518,100
ibN-6-lkOoY,Turned the bro into a group project 😂,#callofdutymobile #shorts #codmobile #codm #callofduty #meme #funny #lol #short #memes,2024-03-15T06:31:46Z,33157,3755,45
hlK2uta-UYM,MASTER BAITER 💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#codm ​​​​ #codmobile ​​​​ #callofdutymobile  #c4  #funny  #karma  #camper  #shorts",2023-05-19T13:15:23Z,1732686,130220,769
ksxJ3LDgrEE,100% Accuracy 🎯,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #shorts #accuracy #100% #kilobolt #marksman #clean",2023-05-11T11:57:41Z,847536,43390,516
q3XzB3oN5YA,"Bro thought he could ace, but you know me 😜😂","Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty",2024-01-30T13:00:28Z,83337,6738,67
vz9onri5FUY,Bro got mad coz he couldn’t get a kill 💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short",2023-09-26T12:00:03Z,257933,15689,133
uQNXPlZtznU,1v5? Not a problem,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile",2023-04-13T12:34:25Z,2333280,147323,1143
CKKC6a811nc,Crash is trash 😂💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty #memes #meme",2023-11-27T12:03:05Z,1497538,115895,1925
-BwhHrgSSl4,Goofy ahh 1v4 with the SPR,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #Shorts #1v4 #CodmShorts #Marksman #SPR",2023-04-19T07:08:47Z,1759173,124335,740
