video_id,title,description,upload_date,view_count,like_count,comment_count
h6bvpgZCyHo,A Super Great News For All CODM Players!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

A Super Great News For All CODM Players! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-05-22T08:23:51Z,29936,2461,430
l2HShW-6fuw,Great News For OG Codm Players!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

Great News For OG Codm Players! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-06-25T12:07:18Z,52134,3132,317
JGUS0HPmy6E,This Attachment is Useless in Snipers!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

This Attachment is Useless in Snipers! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #snipers",2022-07-20T13:19:08Z,31790,1287,238
mhKZOFzxEyI,Struggles of a CODM Youtuber!,"Struggles of a CODM Youtuber! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&",2022-10-20T13:27:57Z,4471,482,77
HwtCKDT6wes,This Ghost Skin is Special :),#shorts #cod #codmobile #callofdutymobile,2023-08-11T09:07:37Z,12425,937,44
-vFjCsMujww,5 Foods That Will Make You Better in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

5 Foods That Will Make You Better in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-02-01T09:39:45Z,28074,2650,409
CAHWpuBvaJM,Top 5 Best SMG's in Season 10 CODM!,"Top 5 Best SMG's in Season 10 CODM! these are the top 5 best smgs in season 10 codm you should use! 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #season10",2021-11-22T06:15:54Z,35452,2026,394
lQn-D3w4rUc,CODM IN 2069 😍😍😍,#shorts #codm #codmobile #callofduty,2023-05-29T14:36:11Z,1986821,89044,1599
luLP8M3LxK0,Holger Can One Shot NOW?,"#codm #codmobile #callofdutymobile

Codm
Cod mobile
Call of duty mobile
Ednox
Ice codm",2021-08-24T12:48:48Z,102257,3296,294
ZUfgW2BUiIk,ITS JUST A MELEE WEAPON BRO 😊😊😊,#shorts #cod #codmobile #callofdutymobile,2023-06-06T17:05:59Z,49689,3377,363
hl2X-Xq05MM,CODM Secretly Nerfed BOTS!,"CODM Secretly Nerfed BOTS!  

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&

#codm #codmobile #callofdutymobile",2022-12-27T13:39:19Z,8323,376,109
R5wVidZGoFY,BEST KOSHKA SNIPER GUNSMITH 🔥🔥,#shorts #cod #codmobile #callofdutymobile,2023-06-14T14:19:30Z,21805,831,43
BQfhkJ5XRqQ,Did you Know Outrider Speaks Chinese?,"#codm #codmobile #callofdutymobile

Codm
Cod mobile
Call of duty mobile
Ednox
Ice codm",2021-09-07T04:52:44Z,17587,1165,168
myhg3BFMK9c,These Two Spots Will Break CODM!,"These Two Spots Will Break CODM! these are the two spots that can break codm... 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #spots",2021-12-05T13:13:55Z,48770,2393,157
a4LGtT4x4H8,CODM Becoming Valorant!??,"#codm #codmobile #callofdutymobile

Codm
Cod mobile
Call of duty mobile
Ednox",2021-07-15T14:43:00Z,30540,2044,238
dnzdXdClhM8,4 Reasons Why You Should Never Buy Legendary and Mythic Skins!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

4 Reasons Why You Should Never Buy Legendary and Mythic Skins!

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #callofdutymobile #mythic",2022-04-19T12:57:28Z,123075,5199,1145
pNVKzUWxGwg,3 Organs You Can Sell to Buy Everything in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

3 Organs You Can Sell to Buy Everything in CODM! ! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-03-27T08:25:33Z,23794,2026,470
Dr2RLEHxLV8,Zero Says Cuss Words!??,"#codm #codmobile #callofdutymobile 

Codm
Cod mobile
Call of duty mobile
Ednox
Ice codm
Iferg",2021-09-14T13:43:48Z,47081,2596,369
TcNGaRqBlxs,Every Akimbo Weapon in CODM!,#shorts #cod #codmobile #callofdutymobile,2023-07-15T13:04:37Z,302702,18344,258
TY_RuAN05ZY,Watch This Video If You Don't have Mythic M13!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

Watch This Video If You Don't have Mythic M13! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm",2022-06-29T07:00:05Z,25597,1406,225
awqN_jhxLSI,4 Reasons Why You Should Not Play CODM For Long Hours!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

4 Reasons Why You Should Not Play CODM For Long Hours!  

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-05-01T08:02:26Z,49609,3439,559
f-tzxuQZCdQ,3 Mistakes Every Sniper Makes in CODM!,"Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

3 Mistakes Every Snipers Makes in CODM! These are the mistakes almost every sniper makes in codm.. 

#codm #codmobile #callofdutymobile",2021-11-09T11:29:04Z,31516,2081,144
ZutVFcwLca8,5 Tips to Nuke Easily in Ranked!,"5 Tips to Nuke Easily in Ranked! 

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-01-09T06:54:59Z,70535,2859,245
Lq3hjSFVKFU,5 Types of Random Teammates in CODM!,#codm #random #teammates,2021-10-14T12:29:30Z,14670,1157,149
