video_id,title,description,upload_date,duration,definition,video_status,view_count,like_count,comment_count
hlK2uta-UYM,MASTER BAITER 💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#codm ​​​​ #codmobile ​​​​ #callofdutymobile  #c4  #funny  #karma  #camper  #shorts",2023-05-19T13:15:23Z,PT52S,hd,public,1732856,130232,769
X3HCiOvboKk,Huh? Huhh? Huhhh? 😧,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty #memes #meme",2023-11-23T12:31:36Z,PT54S,hd,public,406229,35479,271
Cf9IRX_nLgQ,Funny moments in codm #2 😂💀😝,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out! ——————————————————————————— IGN - Carnage.YT Device - iPad Pro 2021 ——————————————————————————— Email ID : aexcarnage@gmail.com INSTAGRAM: https://instagram.com/skp_carnage DISCORD: https://discord.gg/PqvTcVthw Aesthetic X: https://discord.gg/SDDTYFK​​​​​​ ——————————————————————————— Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!
 #shorts #codm ​​​​ #codmobile ​​​​ #callofdutymobile #shorts #callofduty #memes #meme",2023-12-23T12:35:21Z,PT59S,hd,public,136820,13517,100
ibN-6-lkOoY,Turned the bro into a group project 😂,#callofdutymobile #shorts #codmobile #codm #callofduty #meme #funny #lol #short #memes,2024-03-15T06:31:46Z,PT43S,hd,public,33268,3763,45
ksxJ3LDgrEE,100% Accuracy 🎯,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #shorts #accuracy #100% #kilobolt #marksman #clean",2023-05-11T11:57:41Z,PT24S,hd,public,847542,43391,516
sFLupcR8VL4,Don’t do this to me fam 😢😂,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#codm ​​​​ #codmobile ​​​​ #callofdutymobile  #c4  #funny  #karma  #camper  #shorts",2024-01-28T12:39:10Z,PT21S,hd,public,142674,11573,100
q3XzB3oN5YA,"Bro thought he could ace, but you know me 😜😂","Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty",2024-01-30T13:00:28Z,PT39S,hd,public,83357,6738,67
vz9onri5FUY,Bro got mad coz he couldn’t get a kill 💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short",2023-09-26T12:00:03Z,PT37S,hd,public,258094,15694,133
uQNXPlZtznU,1v5? Not a problem,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile",2023-04-13T12:34:25Z,PT55S,hd,public,2333443,147336,1143
CKKC6a811nc,Crash is trash 😂💀,"Hey fam, I'm back with another banger video. Watch it and let me know what you think about it in comments. Peace out!
———————————————————————————

IGN - Carnage.YT
Device - iPad Pro 2021

———————————————————————————

Email ID : aexcarnage@gmail.com
INSTAGRAM: https://instagram.com/skp_carnage
DISCORD: https://discord.gg/PqvTcVthw

Aesthetic X: https://discord.gg/SDDTYFK​​​​​​

———————————————————————————

Subscribe and join for more thrilling gameplay, perks and amusing stories on the go!

#shorts #CODM​​​​ #CODMobile​​​​ #CallOfDutyMobile #short #callofduty #memes #meme",2023-11-27T12:03:05Z,PT51S,hd,public,1498177,115951,1925
