video_id,title,description,upload_date,duration,definition,video_status,view_count,like_count,comment_count
mrf4zoEucME,types of Rank Pushers in CODM,#codm #shorts,2021-05-28T06:02:46Z,PT59S,hd,public,541302,21303,1747
ajxgbcV_1Aw,from pay2win to free2win to forgotten,#codm #shorts,2021-08-20T05:29:57Z,PT53S,hd,public,73757,3138,307
r9hgFLR0IWw,how CODM stores data of NA-45 users,#codm #shorts,2021-05-01T16:06:32Z,PT21S,hd,public,31100,1957,247
Id9T1jEKr_k,Respecting every Free2Play player,#codm #shorts,2021-09-08T06:07:39Z,PT59S,hd,public,18885,1211,238
nofGNDtBuc8,Invisibility Glitch and its Counter (CODM),#codm #codmobile #shorts,2021-03-16T07:29:08Z,PT58S,hd,public,767,55,19
8URFgkpgoBQ,MOST annoying thing in CODM right now,,2023-02-06T11:06:13Z,PT57S,hd,public,1916,93,29
XgrRqFOXn8c,and you thought you were having a bad day,#codm #shorts,2021-05-26T06:12:09Z,PT37S,hd,public,28268,2027,174
qfC6k4Tzv84,Free 2 Lose Character Skin?,#codm #shorts,2021-11-13T09:33:46Z,PT34S,hd,public,55671,2195,230
OWpC52uFbic,FREE REWARDS: China vs Global CODM,#codm #shorts,2021-10-11T08:33:46Z,PT35S,hd,public,43965,2053,262
xxaRLqC4Fho,Legendary vs Base Melee Comparison,#codm #shorts,2021-10-30T10:46:27Z,PT37S,hd,public,57329,1997,184
L2Lzp291-ak,explain this hunter killer drone,#codm #shorts,2021-05-12T08:38:40Z,PT18S,hd,public,33423,1322,108
OTvpUAolRYQ,Legendary vs Default Thumper Comparison,#codm #shorts,2021-10-29T06:16:49Z,PT36S,hd,public,77011,2297,323
2wfUzUNRJc8,how to reveal streamer mode user’s IGN,#codm #shorts,2021-10-20T05:12:48Z,PT35S,hd,public,16814,631,65
czZTI96EBxk,OLD vs NEW Final Killcam Comparison,#codm #shorts,2021-11-07T09:56:23Z,PT34S,hd,public,334570,9648,554
xkFjcnp7e0o,quick maths,#codm #shorts,2021-05-18T16:05:44Z,PT38S,hd,public,42641,2284,217
QInwIvcY4k0,the only team that killed iFerg in the 100k BR tourney,#codm #shorts,2021-10-09T17:02:14Z,PT36S,hd,public,38030,2161,259
f7D0m3JEJiY,LaN Diss Track (India’s Response?),"#codm #shorts

Prod. By Dehbeats",2021-12-15T04:37:57Z,PT58S,hd,public,27487,3226,1056
H2fpnsDHAqg,no one noticed this character skin saying INAPPROPRIATE stuff!??,#codm #shorts,2021-09-02T07:20:52Z,PT35S,hd,public,10972,1036,230
0JpBvShCXFg,Legendary vs Default Swordfish Comparison,#codm #shorts,2021-11-02T03:29:18Z,PT39S,hd,public,15122,694,102
Lkv62mveKlo,weapon inspection came out early?,#codm #shorts,2021-10-21T04:46:18Z,PT39S,hd,public,38767,1826,230
bYiv0Z1dStU,explain how I survived here,#codm #shorts,2021-05-03T08:37:48Z,PT26S,hd,public,84427,3723,339
nyPOsbvx1nA,this QQ9 gunsmith turns it into an AR,#codm #codmobile #callofdutymobile,2021-03-19T11:45:27Z,PT1M47S,hd,public,807,62,20
F4ZHGlaEyLY,how CODM buffed QXR,"#codm #shorts

Video Credits: Shad kinda funny 
Link: https://youtube.com/channel/UCbMt0TXpOmyW1ot65SXjwWQ",2021-06-26T07:17:45Z,PT36S,hd,public,20382,2404,153
przzqt5kiWE,iFerg said this is one of the worst BP skin of all time....,#codm #shorts,2021-10-24T05:04:19Z,PT41S,hd,public,165601,6144,592
DYhIrburYHQ,every thermite spammer deserves this,#codm #shorts,2021-06-19T15:09:27Z,PT33S,hd,public,56270,3513,302
GlwEVZdMNYU,how rank tryhards make their loadout,#codm #shorts,2021-08-16T05:30:04Z,PT38S,hd,public,54859,2389,271
w2JUDbSn8kE,NEW Feature that Reduces Lag in CODM,#codm #shorts,2021-11-16T11:16:44Z,PT37S,hd,public,14319,666,139
a0ijQqA8JpY,RARE skin that’s ANIMATED?,#codm #shorts,2021-10-25T11:01:24Z,PT36S,hd,public,74034,3025,474
BaZEWFj20W8,is Stopping Power Ammo on Type 25 required?,#codm #shorts,2021-11-17T11:01:45Z,PT42S,hd,public,23200,886,110
f7kOQVvHopY,ALL WEAPONS should have this FEATURE in CODM,#codm #shorts,2021-09-06T05:16:43Z,PT38S,hd,public,21336,1121,314
pWYMSG9HlI8,“Revenge is best served with a nuke” - @iFerg,#codm #shorts,2021-09-13T05:36:36Z,PT1M6S,hd,public,6415,520,124
Lcm9S8XCVy8,"if you died like this, would you report?",#codm #shorts,2021-05-14T16:23:29Z,PT15S,hd,public,105988,4682,380
qjccr4cmRmM,Legendary Skin that looks exactly like an Epic Skin,#codm #shorts,2021-10-31T04:51:48Z,PT35S,hd,public,48943,1967,218
ENBMgUcNvYg,3 things Combat Master has and CODM doesn’t,#codm #shorts,2021-10-26T04:05:21Z,PT47S,hd,public,81373,3550,1061
3qFiiYh_iQ0,Type 25 Meta: 2019 vs 2021,#codm #shorts,2021-11-19T10:16:09Z,PT34S,hd,public,31541,1459,284
JoDiK5EzMaU,is M13 Morningstar secretly a high budget geometry skin?,#codm #shorts,2021-11-01T11:08:13Z,PT39S,hd,public,61673,2173,215
NS9T30WmOAc,when thermite doesn’t damage you at all?,#codm #shorts,2021-05-01T08:43:07Z,PT26S,hd,public,69480,2833,177
pQvZ_kZL6lI,if the heartbeat sensor could talk in CODM,#codm #shorts,2021-05-27T14:48:02Z,PT33S,sd,public,38324,2741,232
MivODj-OLxw,75 FOV to 90 FOV sensitivity calculator,#codm #shorts,2021-07-29T06:47:21Z,PT24S,hd,public,8301,529,118
wQlktxtDndQ,COPY your FRIENDS loadouts without asking them (S8 update),#codm #shorts,2021-09-21T15:17:58Z,PT37S,hd,public,15836,757,127
JrsE7X5P0jQ,everyone needs to see these weapon inspections,#codm #shorts,2021-11-16T07:21:01Z,PT40S,hd,public,37963,1639,188
c13qz3gVvEw,win 99% of gunfights with these 3 tricks,#codm #shorts,2021-08-28T05:28:35Z,PT52S,hd,public,25615,1514,183
tgoyV87KFlg,every F2P player’s dream in CODM,#codm #shorts,2021-08-21T05:25:59Z,PT42S,hd,public,60509,4238,807
_H3sfcdZnoU,SECRET skin that makes chicom OP,#codm #shorts,2021-05-15T16:20:37Z,PT55S,hd,public,116121,4893,641
PEPcwxHh5NY,guess how much this trip mine costs,#codm #shorts,2021-06-18T15:54:47Z,PT34S,hd,public,85061,3947,460
p4ZWWTFolVg,when CODM removes the rename card,#codm #shorts,2021-06-15T16:00:49Z,PT45S,hd,public,115981,5888,1266
ao-CYW0b_wg,Solo Domination in 59 seconds,#codm #shorts,2021-06-09T05:47:09Z,PT59S,hd,public,16524,1282,230
oseJCdHjnQg,how using Red Dot increases your accuracy x10,#codm #shorts,2021-10-12T04:02:16Z,PT47S,hd,public,29949,1271,241
BV7lnxCWGQg,only sticky grenade with a BLAST effect in CODM?,#codm #shorts,2021-10-27T10:06:40Z,PT35S,hd,public,31393,1291,134
kSGoHn4V_FU,legendary skin death effect replicated for FREE?,#codm #shorts,2021-09-14T05:49:49Z,PT36S,hd,public,37091,1493,156
EgJF_enaEic,OG GHOST SKIN: Combat Master VS CODM,#codm #shorts,2021-10-26T10:55:48Z,PT35S,hd,public,24252,1167,357
YF7aTWhcGsU,no one chooses this map in CODM,#codm #shorts,2021-08-25T05:41:34Z,PT49S,hd,public,16707,1023,323
dvl88DuJd5Q,how Dr. Disrespect got 1 million CP,#codm #shorts,2021-05-31T12:53:46Z,PT43S,hd,public,67019,3641,160
O_URdeePxvs,3 tips to help you reach LEGENDARY ranked faster in CODM,#codm #shorts,2021-09-28T05:26:59Z,PT39S,hd,public,55691,2004,270
